SrNo,Name,Role,Country,Base Price (Cr),Status,Sold Price,Sold To,Image,Is Overseas,set,,batter-1
1,MS Dhoni,Wicket Keeper,India,2,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,No,0,,pacer-2
2,Sanju Samson,Wicket Keeper,India,2,UNSOLD,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,4,,spiner-3
3,Ruturaj Gaikwad,Batsman,India,1,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/102.png,No,1,,wk-4
4,Dewald Brevis,Batsman,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png,Yes,1,,all-5
5,Ayush Mhatre,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png,No,1,,uncap bat-6
6,Kartik Sharma,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,9,,uncap pace-7
7,Sarfaraz Khan,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,1,,uncap spin-8
8,Urvil Patel,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1486.png,No,9,,uncap wk-9
9,Anshul Kamboj,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png,No,7,,uncap all-10
10,Jamie Overton,All-Rounder,Overseas,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png,Yes,4,,
11,Ramakrishna Ghosh,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3559.png,No,10,,
12,Prashant Veer,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
13,Matthew William Short,All-Rounder,Overseas,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
14,Aman Khan,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
15,Zak Foulkes,All-Rounder,New Zealand,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
16,Shivam Dube,All-Rounder,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/211.png,No,5,,
17,Khaleel Ahmed,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,No,2,,
18,Noor Ahmad,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,Yes,3,,
19,Mukesh Choudhary,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png,No,7,,
20,Nathan Ellis,Bowler,Overseas,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/633.png,Yes,2,,
21,Shreyas Gopal,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/192.png,No,3,,
22,Gurjapneet Singh,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2256.png,No,7,,
23,Akeal Hosein,Bowler,West Indies,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,3,,
24,Matt Henry,Bowler,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
25,Rahul Chahar,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,3,,
26,KL Rahul,Wicket Keeper,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png,No,4,,
27,Karun Nair,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/131.png,No,1,,
28,David Miller,Batsman,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,1,,
29,Ben Duckett,Wicket Keeper,England,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,4,,
30,Pathum Nissanka,Batsman,Sri Lanka,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,1,,
31,Sahil Parakh,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,6,,
32,Prithvi Shaw,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/51.png,No,1,,
33,Abishek Porel,Wicket Keeper,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1580.png,No,9,,
34,Tristan Stubbs,Wicket Keeper,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1017.png,Yes,4,,
35,Axar Patel,All-Rounder,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png,No,5,,
36,Sameer Rizvi,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1229.png,No,10,,
37,Ashutosh Sharma,All-Rounder,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3109.png,No,10,,
38,Vipraj Nigam,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3560.png,No,10,,
39,Ajay Mandal,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1931.png,No,10,,
40,Tripurana Vijay,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3563.png,No,10,,
41,Madhav Tiwari,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3561.png,No,10,,
42,Auqib Dar,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
43,Nitish Rana,All-Rounder,India,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,5,,
44,Mitchell Starc,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/31.png,Yes,0,,
45,T. Natarajan,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/224.png,No,2,,
46,Mukesh Kumar,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1462.png,No,2,,
47,Dushmantha Chameera,Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/608.png,Yes,2,,
48,Lungisani Ngidi,Bowler,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2023/99.png,Yes,2,,
49,Kyle Jamieson,Bowler,New Zealand,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
50,Kuldeep Yadav,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/14.png,No,3,,
51,Shubman Gill,Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/62.png,No,1,,
52,Jos Buttler,Wicket Keeper,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/182.png,Yes,0,,
