SrNo,Name,Role,Country,Base Price (Cr),Status,Sold Price,Sold To,Image,Is Overseas
151,"Shreyas Iyer",Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,No
152,"Nehal Wadhera",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1541.png,No
153,"Vishnu Vinod",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/581.png,No
154,"Harnoor Pannu",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/784.png,No
155,"Pyla Avinash",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3573.png,No
156,"Prabhsimran Singh",Wicket Keeper,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/137.png,No
157,"Shashank Singh",Batsman,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/191.png,No
158,"Marcus Stoinis",All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/23.png,Yes
159,"Harpreet Brar",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/130.png,No
160,"Marco Jansen",All-Rounder,Overseas,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/586.png,Yes
161,"Azmatullah Omarzai",All-Rounder,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1354.png,Yes
162,"Priyansh Arya",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3571.png,No
163,"Musheer Khan",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2813.png,No
164,"Suryansh Shedge",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2146.png,No
165,"Mitch Owen",Batsman,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3870.png,Yes
166,"Cooper Connolly",All-Rounder,Australia,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
167,"Ben Dwarshuis",All-Rounder,Australia,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
168,"Arshdeep Singh",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,No
169,"Yuzvendra Chahal",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/10.png,No
170,"Vyshak Vijaykumar",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2034.png,No
171,"Yash Thakur",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1550.png,No
172,"Xavier Bartlett",Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3572.png,Yes
173,"Pravin Dubey",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/548.png,No
174,"Vishal Nishad",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
175,"Lockie Ferguson",Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
176,"Shubham Dubey",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3112.png,No
177,"Vaibhav Suryavanshi",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3498.png,No
178,"Donovan Ferreira",Wicket Keeper,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
179,"Lhuan-dre Pretorius",Batsman,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2827.png,Yes
180,"Ravi Singh",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
181,"Aman Rao Perala",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
182,"Shimron Hetmyer",Batsman,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/210.png,Yes
183,"Yashasvi Jaiswal",Batsman,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/533.png,No
184,"Dhruv Jurel",Wicket Keeper,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1004.png,No
185,"Riyan Parag",Batsman,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png,No
186,"Yudhvir Singh Charak",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/587.png,No
187,"Ravindra Jadeja",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
188,"Sam Curran",All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
189,"Jofra Archer",Bowler,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png,Yes
190,"Tushar Deshpande",Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/539.png,No
191,"Kwena Maphaka",Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/801.png,Yes
192,"Ravi Bishnoi",Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
193,"Sushant Mishra",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
194,"Yash Raj Punja",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
195,"Vignesh Puthur",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
196,"Brijesh Sharma",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
197,"Adam Milne",Bowler,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
